researcher,role,studies,institution,lab,institution_lab,full_address,Latitude,Longitude,notes
Matthias Lippold,,MB1,University of Goettingen,,,"Wilhelmsplatz 1, 37073 Göttingen, Germany",51.5340918,9.9378899,
Nayeli Gonzalez-Gomez,,MB1,Oxford Brookes University,,,"Oxford Brookes University Gipsy Lane Site, Grays Rd, Oxford OX3 7PU, UK",51.755011,-1.224225,
Paula Fikkert,,MB1,Radboud University,,,"Houtlaan 4, 6525 XZ Nijmegen, Netherlands",51.8167344,5.8649906,
Laura E. Hahn,,MB1,Radboud University,,,"Houtlaan 4, 6525 XZ Nijmegen, Netherlands",51.8167344,5.8649906,
Katharina Menn,,MB1,Radboud University,,,"Houtlaan 4, 6525 XZ Nijmegen, Netherlands",51.8167344,5.8649906,
Christina Bergmann,,MB1,Max Planck Insitute for Psycholinguistics,,,"Max Planck Institute for Psycholinguistics, Comeniuslaan, 6525 XD Nijmegen, The Netherlands",51.8179934,5.8570934,
Rebecca L. A. Frost,,MB1,Max Planck Institute for Psycholinguistics,,,"Max Planck Institute for Psycholinguistics, Comeniuslaan, 6525 XD Nijmegen, The Netherlands",51.8179934,5.8570934,
Claire Delle Luche,,MB1,University of Essex,,,"Wivenhoe Park, Colchester CO4 3SQ, United Kingdom",51.8768245,0.9531797,
Maartje de Klerk,,MB1,Utrecht University,,,"Domplein 29, 3512 JE Utrecht, Netherlands",52.0902537,5.1225664,
Caroline Junge,,MB1,Utrecht University,,,"Domplein 29, 3512 JE Utrecht, Netherlands",52.0902537,5.1225664,
Anna Gupta,,MB1,Leiden University,,,"Leiden University, Niels Bohrweg, 2333 CD Leiden, The Netherlands",52.1696121,4.4568618,
Claartje Levelt,,MB1,Leiden University,,,"Leiden University, Niels Bohrweg, 2333 CD Leiden, The Netherlands",52.1696121,4.4568618,
Tom Fritzsche,,MB1,University of Potsdam,,,"Am Neuen Palais 10, 14469 Potsdam, Germany",52.4003952,13.0130902,
Barbara Höhle,,MB1,University of Potsdam,,,"Am Neuen Palais 10, 14469 Potsdam, Germany",52.4003952,13.0130902,
Rhodri Cusack,,MB1,Trinity College Dublin,,,"College Green, Dublin 2, Ireland",53.3446394,-6.2595373,
Anna Brown,,MB1,University of Liverpool,,,"Liverpool L69 3BX, United Kingdom",53.4063986,-2.975554,
Samantha Durrant,,MB1,University of Liverpool,,,"Liverpool L69 3BX, United Kingdom",53.4063986,-2.975554,
Claire Noble,,MB1,University of Liverpool,,,"Liverpool L69 3BX, United Kingdom",53.4063986,-2.975554,
Laura de Ruiter,,MB1,University of Manchester,,,"Oxford Rd, Manchester M13 9PL, United Kingdom",53.4667304,-2.2341758,
Alissa Ferry,,MB1,University of Manchester,,,"Oxford Rd, Manchester M13 9PL, United Kingdom",53.4667304,-2.2341758,
Iain Jackson,,MB1,University of Manchester,,,"Oxford Rd, Manchester M13 9PL, United Kingdom",53.4667304,-2.2341758,
Anna Theakston,,MB1,University of Manchester,,,"Oxford Rd, Manchester M13 9PL, United Kingdom",53.4667304,-2.2341758,
Katherine Twomey,,MB1,University of Manchester,,,"Oxford Rd, Manchester M13 9PL, United Kingdom",53.4667304,-2.2341758,
